Shelf,Tank,TankID,PCO2,Date_WQ,Date_VINDTA,Date_Notes,Exp_Temp,Time,Sal_1,Sal_2,Sal_3,Sal_AVG,Sal_corr_factor,Sal_corr_inRange,Salinity_Correction_Notes,Sal_Corr,mV_1,mV_2,mV_3,mV_AVG,pH,Temp,Sal_Std1,Sal_Std2,Sal_Std3,Sal_StdAVG,pH7_Std1,pH7_Std2,pH7_Std3,pH7_StdAVG,pH10_Std1,pH10_Std2,pH10_Std3,pH10_StdAVG,pHCRMStd.1,pHCRMStd.2,pHCRMStd.3,pHCRMStd.avg,Batch_Num,Batch_Sal,Notes
1,1,1,400,20170508,20170508,,17,1:40 PM,30.2,30.2,30.1,30.16666667,1.002588939,1,,30.08876869,-65,-65,-65,-65,7.789473684,16.9,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
1,2,2,400,20170508,20170508,,17,1:40 PM,30,30.1,29.9,30,1.002588939,1,,29.9225324,-65,-65,-65,-65,7.789473684,16.91,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
1,3,3,400,20170508,20170508,,17,1:40 PM,30.2,30.1,30.1,30.13333333,1.002588939,1,,30.05552144,-65,-65,-65,-65,7.789473684,16.95,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
2,1,4,400,20170508,20170508,,17,1:40 PM,30.1,30.1,30.1,30.1,1.002588939,1,,30.02227418,-68,-68,-67,-67.66666667,7.834586466,16.5,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
2,2,5,400,20170508,20170508,,17,1:40 PM,30.1,30.1,30.2,30.13333333,1.002588939,1,,30.05552144,-69,-68,-67,-68,7.840225564,16.6,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
2,3,6,400,20170508,20170508,,17,1:40 PM,30.2,30.2,30.1,30.16666667,1.002588939,1,,30.08876869,-64,-65,-65,-64.66666667,7.783834586,16.4,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
3,1,7,900,20170508,20170508,,17,1:40 PM,30,30.1,30.1,30.06666667,1.002588939,1,,29.98902692,-66,-66,-66,-66,7.806390977,16.25,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
3,2,8,900,20170508,20170508,,17,1:40 PM,30,30,30,30,1.002588939,1,,29.9225324,-66,-66,-66,-66,7.806390977,16.3,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
3,3,9,900,20170508,20170508,,17,1:40 PM,30,30,30.1,30.03333333,1.002588939,1,,29.95577966,-65,-66,-66,-65.66666667,7.80075188,16.2,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
4,1,10,2800,20170508,20170508,,17,1:40 PM,30.1,30.1,30.1,30.1,1.002588939,1,,30.02227418,-66,-65,-65,-65.33333333,7.795112782,16.85,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
4,2,11,2800,20170508,20170508,,17,1:40 PM,30,30.1,30,30.03333333,1.002588939,1,,29.95577966,-66,-66,-66,-66,7.806390977,17.3,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
4,3,12,2800,20170508,20170508,,17,1:40 PM,30,30,30,30,1.002588939,1,,29.9225324,-65,-66,-66,-65.66666667,7.80075188,16.7,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
5,1,13,900,20170508,20170508,,17,1:40 PM,30,30,30.1,30.03333333,1.002588939,1,,29.95577966,-69,-68,-69,-68.66666667,7.851503759,16.5,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
5,2,14,900,20170508,20170508,,17,1:40 PM,30.1,30,30,30.03333333,1.002588939,1,,29.95577966,-67,-68,-68,-67.66666667,7.834586466,16.5,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
5,3,15,900,20170508,20170508,,17,1:40 PM,30.1,30,30.1,30.06666667,1.002588939,1,,29.98902692,-68,-68,-68,-68,7.840225564,16.4,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
6,1,16,2800,20170508,20170508,,17,1:40 PM,30.1,30.2,30.1,30.13333333,1.002588939,1,,30.05552144,-64,-65,-65,-64.66666667,7.783834586,15.3,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
6,2,17,2800,20170508,20170508,,17,1:40 PM,30.2,30.3,30.1,30.2,1.002588939,1,,30.12201595,-63,-65,-66,-64.66666667,7.783834586,15.4,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
6,3,18,2800,20170508,20170508,,17,1:40 PM,30.1,30,30.1,30.06666667,1.002588939,1,,29.98902692,-64,-65,-66,-65,7.789473684,15.4,33.4,33.4,33.5,33.43333333,-18,-18,-19,-18.33333333,-196,-196,-195,-195.6666667,-65,-67,-67,-66.33333333,154,33.347,End time- 3:50 PM
1,1,1,400,20170510,20170510,,17,10:00 AM,30.4,30.4,30.4,30.4,0.996591398,1,,30.50397593,-70,-68,-67,-68.33333333,7.778846154,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
1,2,2,400,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-67,-67,-67,-67,7.755769231,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
1,3,3,400,20170510,20170510,,17,10:00 AM,30.5,30.6,30.6,30.56666667,0.996591398,1,,30.67121264,-66,-66,-66,-66,7.738461538,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
2,1,4,400,20170510,20170510,,17,10:00 AM,30.4,30.5,30.5,30.46666667,0.996591398,1,,30.57087061,-67,-67,-67,-67,7.755769231,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
2,2,5,400,20170510,20170510,,17,10:00 AM,30.4,30.5,30.5,30.46666667,0.996591398,1,,30.57087061,-67,-68,-67,-67.33333333,7.761538462,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
2,3,6,400,20170510,20170510,,17,10:00 AM,30.4,30.5,30.5,30.46666667,0.996591398,1,,30.57087061,-67,-67,-66,-66.66666667,7.75,17.5,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
3,1,7,900,20170510,20170510,,17,10:00 AM,30.5,30.5,30.7,30.56666667,0.996591398,1,,30.67121264,-67,-67,-67,-67,7.755769231,17.3,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
3,2,8,900,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-65,-65,-65,-65,7.721153846,17.3,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
3,3,9,900,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-66,-66,-66,-66,7.738461538,17.3,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
4,1,10,2800,20170510,20170510,,17,10:00 AM,30.5,30.4,30.5,30.46666667,0.996591398,1,,30.57087061,-65,-65,-65,-65,7.721153846,17.1,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
4,2,11,2800,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-67,-66,-66,-66.33333333,7.744230769,17.2,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
4,3,12,2800,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-67,-67,-66,-66.66666667,7.75,17.1,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
5,1,13,900,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-68,-67,-67,-67.33333333,7.761538462,17.3,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
5,2,14,900,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-68,-68,-68,-68,7.773076923,17.3,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
5,3,15,900,20170510,20170510,,17,10:00 AM,30.6,30.5,30.5,30.53333333,0.996591398,1,,30.6377653,-68,-67,-68,-67.66666667,7.767307692,17.4,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
6,1,16,2800,20170510,20170510,,17,10:00 AM,30.6,30.5,30.5,30.53333333,0.996591398,1,,30.6377653,-65,-64,-64,-64.33333333,7.709615385,17.2,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
6,2,17,2800,20170510,20170510,,17,10:00 AM,30.6,30.5,30.6,30.56666667,0.996591398,1,,30.67121264,-66,-65,-65,-65.33333333,7.726923077,17.2,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
6,3,18,2800,20170510,20170510,,17,10:00 AM,30.5,30.5,30.5,30.5,0.996591398,1,,30.60431795,-66,-65,-65,-65.33333333,7.726923077,17.1,33.2,33.2,33.3,33.23333333,-23,-24,-23,-23.33333333,-196,-197,-197,-196.6666667,-68,-69,-69,-68.66666667,154,33.347,End time- 11:34 AM
1,1,1,400,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-65,-66,-67,-66,7.849056604,17,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
1,2,2,400,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-66,-67,-66,-66.33333333,7.854716981,17,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
1,3,3,400,20170512,20170512,,17,10:00 AM,30.2,30.1,30.1,30.13333333,0.996591398,1,,30.23639719,-66,-66,-65,-65.66666667,7.843396226,17.6,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
2,1,4,400,20170512,20170512,,17,10:00 AM,30,30,30,30,0.996591398,1,,30.10260782,-68,-67,-68,-67.66666667,7.877358491,17.3,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
2,2,5,400,20170512,20170512,,17,10:00 AM,30,30,30.1,30.03333333,0.996591398,1,,30.13605517,-68,-69,-68,-68.33333333,7.888679245,17.2,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
2,3,6,400,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-68,-67,-67,-67.33333333,7.871698113,17.2,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
3,1,7,900,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-69,-68,-69,-68.66666667,7.894339623,16.8,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
3,2,8,900,20170512,20170512,,17,10:00 AM,30.1,30.2,30.2,30.16666667,0.996591398,1,,30.26984453,-67,-68,-67,-67.33333333,7.871698113,16.8,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
3,3,9,900,20170512,20170512,,17,10:00 AM,30.2,30.2,30.2,30.2,0.996591398,1,,30.30329188,-66,-66,-68,-66.66666667,7.860377358,16.7,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
4,1,10,2800,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-67,-67,-68,-67.33333333,7.871698113,16.6,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
4,2,11,2800,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-68,-67,-68,-67.66666667,7.877358491,16.7,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
4,3,12,2800,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-67,-67,-67,-67,7.866037736,16.7,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
5,1,13,900,20170512,20170512,,17,10:00 AM,29.9,30,30,29.96666667,0.996591398,1,,30.06916048,-61,-60,-60,-60.33333333,7.752830189,17.3,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
5,2,14,900,20170512,20170512,,17,10:00 AM,30,30.1,30.1,30.06666667,0.996591398,1,,30.16950251,-65,-68,-65,-66,7.849056604,17.3,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
5,3,15,900,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-68,-67,-69,-68,7.883018868,17.2,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
6,1,16,2800,20170512,20170512,,17,10:00 AM,30.1,30,30,30.03333333,0.996591398,1,,30.13605517,-68,-67,-67,-67.33333333,7.871698113,16.8,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
6,2,17,2800,20170512,20170512,,17,10:00 AM,30.1,30.1,30,30.06666667,0.996591398,1,,30.16950251,-68,-68,-68,-68,7.883018868,16.9,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
6,3,18,2800,20170512,20170512,,17,10:00 AM,30.1,30.1,30.1,30.1,0.996591398,1,,30.20294985,-67,-68,-67,-67.33333333,7.871698113,16.8,33.2,33.3,33.2,33.23333333,-16,-15,-17,-16,-192,-193,-193,-192.6666667,-67,-68,-66,-67,154,33.347,End time: 12:08 PM
1,1,1,400,20170515,20170515,,17,10:00 AM,29.1,29,29.2,29.1,0.997590988,1,,29.17027154,-66,-64,-65,-65,7.814606742,17.1,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
1,2,2,400,20170515,20170515,,17,10:00 AM,29.2,29.2,29.3,29.23333333,0.997590988,1,,29.30392685,-65,-66,-68,-66.33333333,7.837078652,17.1,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
1,3,3,400,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-67,-69,-69,-68.33333333,7.870786517,17,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
2,1,4,400,20170515,20170515,,17,10:00 AM,29.2,29.1,29.1,29.13333333,0.997590988,1,,29.20368537,-67,-65,-66,-66,7.831460674,16.1,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
2,2,5,400,20170515,20170515,,17,10:00 AM,29.1,29.2,29.1,29.13333333,0.997590988,1,,29.20368537,-65,-66,-66,-65.66666667,7.825842697,16.1,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
2,3,6,400,20170515,20170515,,17,10:00 AM,29.1,29.1,29.1,29.1,0.997590988,1,,29.17027154,-66,-67,-66,-66.33333333,7.837078652,16.1,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
3,1,7,900,20170515,20170515,,17,10:00 AM,29.1,29.1,29.2,29.13333333,0.997590988,1,,29.20368537,-67,-66,-68,-67,7.848314607,17.3,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
3,2,8,900,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-68,-65,-67,-66.66666667,7.842696629,17.2,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
3,3,9,900,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-66,-67,-68,-67,7.848314607,17.2,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
4,1,10,2800,20170515,20170515,,17,10:00 AM,29,29.1,29.1,29.06666667,0.997590988,1,,29.13685772,-66,-68,-64,-66,7.831460674,16.2,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
4,2,11,2800,20170515,20170515,,17,10:00 AM,29.1,29.1,29.1,29.1,0.997590988,1,,29.17027154,-65,-67,-67,-66.33333333,7.837078652,16.4,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
4,3,12,2800,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-64,-66,-67,-65.66666667,7.825842697,16.4,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
5,1,13,900,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-68,-66,-68,-67.33333333,7.853932584,16.5,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
5,2,14,900,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-68,-67,-69,-68,7.865168539,16.4,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
5,3,15,900,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-68,-68,-69,-68.33333333,7.870786517,16.6,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
6,1,16,2800,20170515,20170515,,17,10:00 AM,29,29.1,29.1,29.06666667,0.997590988,1,,29.13685772,-67,-67,-66,-66.66666667,7.842696629,16.9,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
6,2,17,2800,20170515,20170515,,17,10:00 AM,29.2,29.2,29.1,29.16666667,0.997590988,1,,29.2370992,-67,-68,-67,-67.33333333,7.853932584,16.8,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
6,3,18,2800,20170515,20170515,,17,10:00 AM,29.2,29.2,29.2,29.2,0.997590988,1,,29.27051303,-67,-66,-66,-66.33333333,7.837078652,16.8,33.2,33.3,33.3,33.26666667,-17,-16,-17,-16.66666667,-196,-194,-194,-194.6666667,-65,-67,-64,-65.33333333,154,33.347,End time: 11:45 AM
1,1,1,400,20170517,20170517,,17,3:00 PM,29,29.1,29.2,29.1,0.998590578,1,,29.14107207,-59,-59,-60,-59.33333333,7.635687732,16.3,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,Tissues sampling day
1,2,2,400,20170517,20170517,,17,3:00 PM,29.2,29.2,29.4,29.26666667,0.998590578,1,,29.30797397,-60,-60,-63,-61,7.663568773,16.1,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,Start time: 3:00 PM
1,3,3,400,20170517,20170517,,17,3:00 PM,29.2,29.2,29.2,29.2,0.998590578,1,,29.24121321,-57,-58,-58,-57.66666667,7.607806691,16.2,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
2,1,4,400,20170517,20170517,,17,3:00 PM,29.2,29.2,29.2,29.2,0.998590578,1,,29.24121321,-66,-66,-66,-66,7.747211896,17,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
2,2,5,400,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-67,-67,-67,-67,7.76394052,17,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
2,3,6,400,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-67,-67,-67,-67,7.76394052,17.1,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
3,1,7,900,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-68,-68,-69,-68.33333333,7.786245353,16.9,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
3,2,8,900,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-66,-66,-67,-66.33333333,7.752788104,16.9,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
3,3,9,900,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-67,-67,-66,-66.66666667,7.758364312,17,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
4,1,10,2800,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-65,-66,-66,-65.66666667,7.741635688,18.5,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
4,2,11,2800,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-68,-68,-68,-68,7.780669145,18.6,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
4,3,12,2800,20170517,20170517,,17,3:00 PM,29.3,29.3,29.3,29.3,0.998590578,1,,29.34135435,-66,-67,-67,-66.66666667,7.758364312,18.6,33.3,33.3,33.3,33.3,-22,-20,-22,-21.33333333,-198,-202,-202,-200.6666667,-41,-41,-40,-40.66666667,154,33.347,End time: 4:25 PM
